datetime,total
01.01.2009 00:00:00,146699.55921789716
01.01.2009 01:00:00,130150.39640364106
01.01.2009 02:00:00,126740.13311104603
01.01.2009 03:00:00,114576.36560934382
01.01.2009 04:00:00,105005.75184969582
01.01.2009 05:00:00,102076.5080772715
01.01.2009 06:00:00,105987.33796343798
01.01.2009 07:00:00,121295.908775247
01.01.2009 08:00:00,137690.34671488032
01.01.2009 09:00:00,162722.9846775294
01.01.2009 10:00:00,183259.8984938368
01.01.2009 11:00:00,193109.68499604988
01.01.2009 12:00:00,197123.58556161236
01.01.2009 13:00:00,199845.6282863407
01.01.2009 14:00:00,193701.77844723675
01.01.2009 15:00:00,182077.66430366237
01.01.2009 16:00:00,180568.74314742838
01.01.2009 17:00:00,179936.38906299026
01.01.2009 18:00:00,183156.2577910168
01.01.2009 19:00:00,185620.9199931172
01.01.2009 20:00:00,179032.0852389065
01.01.2009 21:00:00,179568.9005066721
01.01.2009 22:00:00,179208.42910636813
01.01.2009 23:00:00,179249.8987638443
02.01.2009 00:00:00,153227.47845306425
02.01.2009 01:00:00,130180.90220468471
02.01.2009 02:00:00,117724.98890717787
02.01.2009 03:00:00,105606.0534499736
02.01.2009 04:00:00,99879.17486744633
02.01.2009 05:00:00,101374.84482610418
02.01.2009 06:00:00,105519.02136733994
02.01.2009 07:00:00,121189.1505999843
02.01.2009 08:00:00,141880.89071147033
02.01.2009 09:00:00,170122.31634480396
02.01.2009 10:00:00,195265.97085635483
02.01.2009 11:00:00,208669.3252477344
02.01.2009 12:00:00,212323.63009878137
02.01.2009 13:00:00,207237.8037848933
02.01.2009 14:00:00,200898.08385781746
02.01.2009 15:00:00,191318.9817507759
02.01.2009 16:00:00,188940.80837777245
02.01.2009 17:00:00,187559.80614105283
02.01.2009 18:00:00,185008.36002646154
02.01.2009 19:00:00,186320.64133222052
02.01.2009 20:00:00,197795.11790688804
02.01.2009 21:00:00,200768.05848024387
02.01.2009 22:00:00,199599.94707298957
02.01.2009 23:00:00,196757.68795140315
03.01.2009 00:00:00,156810.67395198726
03.01.2009 01:00:00,134874.64580288986
03.01.2009 02:00:00,119324.49454744325
03.01.2009 03:00:00,104744.07834940939
03.01.2009 04:00:00,98723.43394092195
03.01.2009 05:00:00,99120.54485959318
03.01.2009 06:00:00,110791.2736447709
03.01.2009 07:00:00,125500.51882436952
03.01.2009 08:00:00,150827.97044910205
03.01.2009 09:00:00,180755.64225613762
03.01.2009 10:00:00,214736.1846650775
03.01.2009 11:00:00,226413.67784675147
03.01.2009 12:00:00,226913.47964405696
03.01.2009 13:00:00,225277.74687528878
03.01.2009 14:00:00,219199.43482386312
03.01.2009 15:00:00,209376.8686917736
03.01.2009 16:00:00,204622.4869960599
03.01.2009 17:00:00,203052.35929938662
03.01.2009 18:00:00,203680.34562190247
03.01.2009 19:00:00,203749.25544384125
03.01.2009 20:00:00,202636.60082001568
03.01.2009 21:00:00,204991.8564158462
03.01.2009 22:00:00,203640.41577333634
03.01.2009 23:00:00,195550.95491355512
04.01.2009 00:00:00,157365.77841733256
04.01.2009 01:00:00,135443.89416723384
04.01.2009 02:00:00,120390.78230344778
04.01.2009 03:00:00,104841.67611127984
04.01.2009 04:00:00,98412.45139917037
04.01.2009 05:00:00,98431.1053084861
04.01.2009 06:00:00,107739.01749402296
04.01.2009 07:00:00,118443.36464259197
04.01.2009 08:00:00,145309.89924999818
04.01.2009 09:00:00,179045.97564294026
04.01.2009 10:00:00,213570.87327521716
04.01.2009 11:00:00,227272.7471027565
04.01.2009 12:00:00,227765.0830853037
04.01.2009 13:00:00,226850.99717682714
04.01.2009 14:00:00,220429.3630601533
04.01.2009 15:00:00,210740.16000170793
04.01.2009 16:00:00,210329.9438625252
04.01.2009 17:00:00,210354.0816768104
04.01.2009 18:00:00,214247.4906725523
04.01.2009 19:00:00,221659.5718010895
04.01.2009 20:00:00,231564.26820258566
04.01.2009 21:00:00,238927.540302217
04.01.2009 22:00:00,232485.81069314535
04.01.2009 23:00:00,202538.6275607478
05.01.2009 00:00:00,157612.48764184813
05.01.2009 01:00:00,137413.8832526498
05.01.2009 02:00:00,119278.61517686224
05.01.2009 03:00:00,106786.88404724716
05.01.2009 04:00:00,99550.10731716323
05.01.2009 05:00:00,100952.26443935266
05.01.2009 06:00:00,108174.28212537232
05.01.2009 07:00:00,133130.4737963628
05.01.2009 08:00:00,152976.58013666092
05.01.2009 09:00:00,179214.9734601648
05.01.2009 10:00:00,206454.40588578014
05.01.2009 11:00:00,214153.09684519476
05.01.2009 12:00:00,215081.4668886898
05.01.2009 13:00:00,209289.408967153
05.01.2009 14:00:00,202313.65200344363
05.01.2009 15:00:00,194921.88531617093
05.01.2009 16:00:00,192730.14084292995
05.01.2009 17:00:00,192195.5669785416
05.01.2009 18:00:00,193772.00579015104
05.01.2009 19:00:00,205362.61474621602
05.01.2009 20:00:00,208339.06847810576
05.01.2009 21:00:00,217071.40964795506
05.01.2009 22:00:00,212005.58961958843
05.01.2009 23:00:00,200498.2431323341
06.01.2009 00:00:00,158320.5153458636
06.01.2009 01:00:00,134111.0431332807
06.01.2009 02:00:00,117254.65186240208
06.01.2009 03:00:00,106647.84020215544
06.01.2009 04:00:00,100927.51999161634
06.01.2009 05:00:00,100929.10285856634
06.01.2009 06:00:00,108739.18689576117
06.01.2009 07:00:00,134908.69519284807
06.01.2009 08:00:00,154563.39891814147
06.01.2009 09:00:00,179081.9539927731
06.01.2009 10:00:00,208795.44602524693
06.01.2009 11:00:00,219612.63120719194
06.01.2009 12:00:00,221631.6069928959
06.01.2009 13:00:00,215768.2596513342
06.01.2009 14:00:00,208700.86152166667
06.01.2009 15:00:00,201984.90357081548
06.01.2009 16:00:00,199699.46354948197
06.01.2009 17:00:00,199599.66400491475
06.01.2009 18:00:00,196075.8258419428
06.01.2009 19:00:00,208279.62603801282
06.01.2009 20:00:00,212352.0661878224
06.01.2009 21:00:00,221063.3259576179
06.01.2009 22:00:00,217337.63337565714
06.01.2009 23:00:00,203225.70868039707
07.01.2009 00:00:00,159971.2160504463
07.01.2009 01:00:00,132392.67129904538
07.01.2009 02:00:00,116444.60518032298
07.01.2009 03:00:00,104304.18616654098
07.01.2009 04:00:00,100014.90565915432
07.01.2009 05:00:00,101019.49417198607
07.01.2009 06:00:00,108362.21161874193
07.01.2009 07:00:00,138815.9144172004
07.01.2009 08:00:00,156365.12181886673
07.01.2009 09:00:00,179080.1040609547
